Вы можете получить владение любыми инструментами. Для этого достаточно найти НПС, который мастерски ими владеет, и убедить его научить вас. 
Для обучения вам нужно преуспеть в трёх проверках чистой характеристики подряд. Каждая проверка осуществляется раз в сутки. При провале придется заново накапливать три успешных проверки.
Инструменты	Характеристики
Воровские	Интеллект, Интеллект, Мудрость
Игровой набор	Интеллект, Мудрость, Ловкость
Алхимика	Интеллект, Интеллект, Интеллект
Гончара		Интеллект, Интеллект, Мудрость
Каллиграфа	Интеллект, Интеллект, Интеллект
Каменщика	Интеллект, Мудрость, Сила
Картографа	Интеллект, Мудрость, Мудрость
Кузнеца		Интекллект, Интеллект, Интеллект
Навигатора	Мудрость, Мудрость, Мудрость
Отравителя	Интеллект, Мудрость, Интеллект
Пивовара	Интеллект, Мудрость, Харизма
Плотника	Интеллект, Мудрость, Ловкость
Повара		Интеллект, Мудрость, Мудрость
Резчикаподереву	Интеллект, Интеллект, Интеллект
Ремонтника	Интеллект, Интеллект, Телосложение
Сапожника	Интеллект, Интеллект, Интеллект
Стеклодува	Интеллект, Интеллект, Интеллект
Ткача		Интеллект, Интеллект, Интеллект
Художника	Интеллект, Интеллект, Мудрость
Ювелира		Интеллект, Интеллект, Интеллект
Муз.инструмент	Интеллект, Харизма, Харизма
Набор для грима	Харизма, Харизма, Харизма
Набор травника	Интеллект, Интеллект, Мудрость
Набор фаль-ции	Интеллект, Харизма, Интеллект
Транспорт	Интеллект, Мудрость, Интеллект
